SYMBOL,SERIES,OPEN,CLOSE,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
PIONDIST,EQ,182.95,176.05,178.35,3262,583584.9,260,INE889E01010
PIONEEREMB,EQ,50.4,49.6,49.8,63319,3174381.75,556,INE156C01018
PITTIENG,EQ,287,276.25,286.75,164657,46727088.85,12720,INE450D01021
PKTEA,BE,299.85,299.85,285.6,994,298050.9,36,INE431F01018
PLASTIBLEN,EQ,219.9,216.15,216.4,68515,14836087.6,447,INE083C01022
PNB,EQ,35.85,35.7,35.6,46357008,1666278830,45141,INE160A01022
PNBGILTS,EQ,62.25,61.5,62.05,204091,12643817.2,2090,INE859A01011
PNBHOUSING,EQ,401.8,390.8,397.75,255452,100897537.6,5889,INE572E01012
PNC,EQ,48.1,46.75,48.15,18427,869608.5,341,INE392B01011
PNCINFRA,EQ,251.05,249.15,249.7,286335,71537393.25,4730,INE195J01029
PODDARHOUS,EQ,232.15,228.35,232.05,9197,2141892.55,247,INE888B01018
PODDARMENT,EQ,280.8,283.2,280.35,37661,10875162.45,1334,INE371C01013
POKARNA,EQ,698,737.15,697.8,116034,84246875.2,7950,INE637C01025
POLICYBZR,EQ,756,713.35,748.95,626050,453869412.8,39180,INE417T01026
POLYCAB,EQ,2450,2414,2425.9,100890,245246637.1,9600,INE455K01017
POLYMED,EQ,823.3,822.4,825.35,47690,39753765.95,6861,INE205C01021
POLYPLEX,EQ,2360,2288.65,2334.3,156447,361416472.4,15743,INE633B01018
PONNIERODE,EQ,268,258.25,267.6,62175,16365319.4,1432,INE838E01017
POONAWALLA,EQ,262.05,259.3,260.7,3259447,857633337.6,26765,INE511C01022
POWERGRID,EQ,209.5,210.1,208.7,7056588,1478315584,51563,INE752E01010
POWERINDIA,EQ,3355,3371.5,3324,56546,190130663.9,7074,INE07Y701011
POWERMECH,EQ,883,879.45,882.6,12302,10897454.7,1918,INE211R01019
PPAP,EQ,217.3,213.6,217.85,15467,3321728.55,571,INE095I01015
PPL,EQ,162.95,160.45,162.95,47939,7731151.65,1512,INE050001010
PRAENG,BE,18.75,18.55,18.9,38662,719037.1,76,INE505C01016
PRAJIND,EQ,384.8,378,380.75,395683,150870615.2,11245,INE074A01025
PRAKASH,EQ,70.8,71.4,70.95,723401,51638252.45,3888,INE603A01013
PRAKASHSTL,EQ,5.6,5.6,5.35,897440,5020362.2,781,INE696K01024
PRAXIS,EQ,50,50.65,50.7,354997,17979873.55,61,INE546Y01022
PRECAM,EQ,137.7,138.25,136.2,173669,24285313.05,4005,INE484I01029
PRECISION,SM,43,42.25,43.5,14000,594000,7,INE0HKW01018
PRECOT,EQ,327.3,335.25,325,13562,4577712.2,493,INE283A01014
PRECWIRE,BE,81.05,80.9,81.15,124382,10147054.7,806,INE372C01037
PREMEXPLN,BE,323,319.75,319.6,7369,2349596.1,104,INE863B01011
PREMIER,BE,5.7,5.75,5.95,112210,642437.75,121,INE342A01018
PREMIERPOL,EQ,76.35,78.45,74.35,6899,527748.25,239,INE309M01012
PRESSMN,EQ,41.35,43.2,41.35,60367,2582986.15,468,INE980A01023
PRESTIGE,EQ,472.95,463.5,470.3,291275,137107401.4,9904,INE811K01011
PRICOLLTD,EQ,120.5,122.2,119.85,678882,82415964.45,6804,INE726V01018
PRIMESECU,EQ,92.95,90.3,91.25,13162,1196722.45,260,INE032B01021
PRINCEPIPE,EQ,670,660.05,659.1,238248,158029302.1,9860,INE689W01016
PRITI,EQ,79,74.65,77.5,60878,4718812.2,257,INE974Z01015
PRITIKAUTO,EQ,16.3,15.8,16.3,154164,2456881.6,607,INE583R01029
PRIVISCL,EQ,1910,1904.1,1900.25,16749,32275218.9,3975,INE959A01019
PROZONINTU,BE,22.9,22.6,22.9,197524,4513879.95,892,INE195N01013
PRSMJOHNSN,EQ,120.2,117.55,118.9,304383,36012328.7,3997,INE010A01011
PSB,EQ,16.2,16,16.2,214909,3454542.55,935,INE608A01012
PSPPROJECT,EQ,563,541.9,553,138101,76077693,8296,INE488V01015
PSUBNKBEES,EQ,29.7,29.5,29.56,2833726,83759784.84,1627,INF204KB16I7
PTC,EQ,81.95,81.25,81.3,622566,50747087.7,4064,INE877F01012
PTL,EQ,32.4,31.75,31.95,44205,1409654.35,747,INE034D01049
PUNJABCHEM,EQ,1365.5,1382.15,1361.5,43348,60439819.1,4940,INE277B01014
PUNJLLOYD,BZ,2.55,2.45,2.55,274201,674779.55,259,INE701B01021
PURVA,EQ,114.95,108.5,114.45,179914,19874298.65,3657,INE323I01011
PVP,BE,5.2,5,5.1,55670,282432.9,136,INE362A01016
PVR,EQ,1754,1756.8,1749.1,1294328,2274232649,40229,INE191H01014
QGOLDHALF,EQ,43.65,44.16,44,29261,1294725,299,INF082J01408
QNIFTY,EQ,1739,1808,1811.84,91,161915.73,34,INF082J01028
QUESS,EQ,571.5,565.15,571.7,151504,86375992.3,16203,INE615P01015
QUICKHEAL,EQ,185.5,185.8,185.35,120801,22691609.95,3399,INE306L01010
RADAAN,EQ,1.5,1.5,1.45,17645,26467.5,35,INE874F01027
RADICO,EQ,940.9,909.8,934,393239,362461898.7,22942,INE944F01028
RADIOCITY,EQ,23.6,23.4,23.5,396198,9255034.85,719,INE919I01024
RAILTEL,EQ,91,89.9,89.5,2260126,206058864.6,17294,INE0DD101019
RAIN,EQ,195,192,194.35,2971044,576346025.3,22620,INE855B01025
RAJESHEXPO,EQ,716.7,704.5,713.5,116264,82349932.6,12141,INE343B01030
RAJMET,EQ,315.8,320.55,315.85,20279,6454168.25,506,INE00KV01014
RAJRATAN,BE,505.1,535.75,510.25,28258,14907192.1,1430,INE451D01029
RAJRILTD,BE,1.55,1.55,1.5,20,31,5,INE533D01032
RAJSREESUG,BE,33.85,32.05,33.25,25303,822878.4,195,INE562B01019
RAJTV,BE,41.85,40.85,41,5005,204845.05,51,INE952H01027
RALLIS,EQ,248,243.8,246.9,196359,48352387.25,4194,INE613A01020
RAMANEWS,EQ,17.85,17.8,17.9,151894,2717033,660,INE278B01020
RAMASTEEL,EQ,331.2,330.15,331.05,29239,9707468.75,1254,INE230R01027
RAMCOCEM,EQ,746.6,730.4,739.05,270946,199433383.1,15430,INE331A01037
RAMCOIND,EQ,221.45,216.6,220.3,73262,16035794.2,2436,INE614A01028
RAMCOSYS,EQ,296,288.15,293.75,162573,47313443.9,7628,INE246B01019
RAMKY,EQ,182,177.9,181.65,93511,16920128.3,3634,INE874I01013
RANASUG,EQ,31.55,31.05,31.5,755048,23678608.95,3663,INE625B01014
RANEENGINE,EQ,257.65,261.5,257.65,9170,2381502.3,630,INE222J01013
RANEHOLDIN,EQ,608,595.1,596.55,15737,9382355.65,825,INE384A01010
RATEGAIN,EQ,352.25,349.95,349.45,735260,257181140.6,12066,INE0CLI01024
RATNAMANI,EQ,2530,2444.65,2509.85,79008,198206699.6,13988,INE703B01027
RAYMOND,EQ,779.85,773.8,772.8,1031076,802636353.8,32249,INE301A01014
RBA,EQ,102.9,101.45,102.15,1230388,125943406.9,19806,INE07T201019
RBL,EQ,689,673,681.7,22679,15483332.1,1551,INE244J01017
RBLBANK,EQ,135.5,134.25,134.8,11393375,1553755648,43009,INE976G01028
RCF,EQ,82.85,82.1,82.4,5161899,428707951.4,23449,INE027A01015
RCOM,BE,2.95,2.9,2.9,3131520,9118572.3,6134,INE330H01018
RECLTD,EQ,125.95,126.3,125.6,2346198,295901042.3,12086,INE020B01018
RECLTD,N2,1170,1170,1190,10,11700,1,INE020B07GX4
RECLTD,N9,1246.1,1255,1246.01,1512,1892515.5,14,INE020B07HS2
RECLTD,NE,1111,1111,1141,50,55550,1,INE020B07IF7
RECLTD,NF,1296.09,1296.18,1261,300,388836.72,2,INE020B07IG5
RECLTD,NI,1224,1226,1224.69,1025,1256600,2,INE020B07GH7
REDINGTON,EQ,149.75,149.35,148.2,2254296,335371780.6,33873,INE891D01026
REFEX,EQ,124.65,124.1,125.15,78912,9870964.45,1520,INE056I01017
RELAXO,EQ,1085.9,1052.85,1077.75,1001252,1053018679,74375,INE131B01039
RELCAPITAL,EQ,14.55,14.25,15,3818563,54848343.9,5437,INE013A01015
RELIANCE,EQ,2523,2539.2,2531.15,7135797,18171479956,235853,INE002A01018
RELIGARE,EQ,115.95,112,114.6,618912,70743940.45,4564,INE621H01010
RELINFRA,EQ,114.45,111.8,113.15,2309731,260702926.7,10482,INE036A01016
REMSONSIND,EQ,199.85,194.15,196.6,5339,1032870.65,163,INE474C01015
RENUKA,EQ,37.4,36.7,37.3,5193819,192292176.6,12491,INE087H01022
REPCOHOME,EQ,194.7,192.05,192.75,111416,21610472.4,3863,INE612J01015
REPL,EQ,219.9,212.85,216.75,18924,4066030.95,577,INE364Z01019
REPRO,EQ,423.7,410.7,420.45,12551,5267711.85,585,INE461B01014
RESPONIND,EQ,177.7,179.6,171.1,413257,75316263.75,10359,INE688D01026
REVATHI,EQ,700,696.7,690.2,5800,4011036.7,671,INE617A01013
REXPIPES,SM,42,42,42.4,4000,168000,1,INE00D001018
RGL,EQ,804.8,790.8,796.1,35104,27788024.8,1105,INE722H01016
RHFL,BE,4.2,4.2,4.2,751899,3163880.6,1148,INE217K01011
RHIM,EQ,592,601.7,589.15,698775,423158447,25111,INE743M01012
RICHA,SM,82.25,84,87.5,2000,166250,2,INE0J1P01015
RICOAUTO,EQ,35,34.9,34.8,260675,9176682.15,1453,INE209B01025
RIIL,EQ,768.4,770.05,764.55,442704,345172724.1,14117,INE046A01015
RITES,EQ,266.8,265.75,264.6,348623,92732550.9,7969,INE320J01015
RKDL,BE,11.05,10.6,10.9,69165,752497.45,290,INE722J01012
RKEC,EQ,53.75,53.75,54.25,48412,2673141.45,211,INE786W01010
RKFORGE,EQ,170.6,166.8,169.35,458706,77052570.6,9281,INE399G01023
RMCL,BZ,2.75,2.75,2.85,40004,110011,57,INE172H01014
RML,EQ,362,356.9,357.5,14382,5203086.8,995,INE050H01012
RNAVAL,BZ,3.7,3.7,3.85,668895,2474911.5,539,INE542F01012
ROHITFERRO,BE,29.55,29.75,31,301268,9410785.9,1068,INE248H01012
ROHLTD,EQ,115.5,125.5,114.1,491138,60693220.55,4749,INE283H01019
ROLEXRINGS,EQ,1234.4,1213.2,1230.45,59872,73326476.85,3371,INE645S01016
ROLLT,BE,2.25,2.1,2.2,1518000,3228337.6,732,INE927A01040
ROLTA,BE,6.1,5.85,5.95,199866,1180235.1,423,INE293A01013
ROML,EQ,74.05,70.9,71.25,8874,633438.45,291,INE294G01026
ROSSARI,EQ,944.9,930.15,934.25,41977,39337183,6245,INE02A801020
ROSSELLIND,EQ,166,170.05,165.25,367869,63219474.8,6502,INE847C01020
ROUTE,EQ,1574.95,1545.2,1561.65,142654,222351559.5,11993,INE450U01017
RPGLIFE,EQ,606.15,598.9,598.35,150421,92304216.35,10985,INE105J01010
RPOWER,EQ,12.75,12.85,13,18912240,245378865.3,21065,INE614G01033
RPPINFRA,EQ,46.95,46.45,46.4,77294,3604968.25,1071,INE324L01013
RPPL,EQ,184,191.45,169.35,328330,64128381.75,7574,INE760W01015
RPSGVENT,EQ,617.3,630,617.7,27528,17329667.1,2722,INE425Y01011
RSSOFTWARE,EQ,34.3,33.8,33.7,66380,2262838.35,650,INE165B01029
RSWM,EQ,442,439.55,439,49798,22126857.4,2682,INE611A01016
RSYSTEMS,EQ,286.85,282.05,282.05,63641,17986622.15,3523,INE411H01032
RTNINDIA,EQ,48.5,46.7,47.7,1079715,51416468.85,4863,INE834M01019
RTNPOWER,BE,5.7,5.5,5.65,3876634,21697876,7766,INE399K01017
RUBYMILLS,EQ,322.95,319.35,323.15,21180,6892831.85,972,INE301D01026
RUCHI,EQ,915,897.6,913.6,157426,142614093.3,10329,INE619A01035
RUCHINFRA,BE,8.55,9.3,8.9,84289,773735.5,401,INE413B01023
RUCHIRA,EQ,106,107.15,106,633418,69094748.2,14594,INE803H01014
RUPA,EQ,462.55,453.9,460.2,195301,89714848.25,5238,INE895B01021
RUSHIL,EQ,485.8,481.95,483.05,142901,70200568.35,6540,INE573K01017
RVHL,EQ,23.75,23.85,24.65,7501,180773.1,100,INE09E501017
RVNL,EQ,35.95,36.15,35.8,7772116,280527419.7,14799,INE415G01027
S&SPOWER,BE,26.1,25.95,25,1896,45718.35,30,INE902B01017
SABEVENTS,BE,9.05,9.05,9.5,1496,13538.8,18,INE860T01019
SABTN,BE,2.2,2.2,2.25,201,442.2,2,INE416A01036
SADBHAV,EQ,29.2,29.1,29.2,479893,14053947.7,2173,INE226H01026
SADBHIN,EQ,10.6,10.15,10.35,1134037,11602525.4,1428,INE764L01010
SAFARI,EQ,948.95,932.15,945,15971,14976465.5,1146,INE429E01023
SAGARDEEP,BE,38.9,38.9,37.05,10115,393473.5,110,INE976T01013
SAGCEM,EQ,245.9,251.4,243.3,137033,34364965,5678,INE229C01021
SAIL,EQ,100.8,103.1,99.5,100447377,10286346901,183407,INE114A01011
SAKAR,EQ,145.6,146.05,137.5,559044,84577361.5,16677,INE732S01012
SAKHTISUG,BE,15.1,15.15,15.65,71475,1095748.75,335,INE623A01011
SAKSOFT,EQ,949.3,939.1,944.55,11144,10528713.7,1761,INE667G01015
SAKUMA,EQ,12.15,11.9,11.95,152644,1830285.4,406,INE190H01024
SALASAR,EQ,227,225,226.45,71262,16084701.5,1324,INE170V01019
SALONA,EQ,244,238.65,237.05,6474,1551407.7,248,INE498E01010
SALSTEEL,EQ,12.25,11.85,12,143950,1715248.15,578,INE658G01014
SALZERELEC,EQ,181,178.9,179.2,113971,20642032.05,2292,INE457F01013
SAMBHAAV,BE,4.3,4.35,4.5,40749,179454.8,95,INE699B01027
SANCO,BE,11.8,11.15,11.25,40587,458099.8,148,INE782L01012
SANDESH,EQ,677.7,689.7,677.2,2855,1961529.4,283,INE583B01015
SANDHAR,EQ,217.05,215.4,216.45,72221,15729268.9,3732,INE278H01035
SANGAMIND,EQ,300.05,299.75,301.95,18608,5624551.3,1029,INE495C01010
SANGHIIND,EQ,45.3,44.4,44.9,590500,26435383.3,3410,INE999B01013
SANGHVIMOV,EQ,193,191.65,190.9,85829,16547089.6,3394,INE989A01024
SANGINITA,EQ,22.65,21.9,22.15,25830,571048.75,150,INE753W01010
SANOFI,EQ,7595,7471.7,7550,15391,115478150.5,4798,INE058A01010
SANSERA,EQ,586.5,585.25,586.05,30936,18226170.8,2720,INE953O01021
SANWARIA,BZ,1.2,1.15,1.2,1625747,1896232.65,1438,INE890C01046
SAPPHIRE,EQ,1371.95,1323.95,1369.4,63689,84713525.45,6595,INE806T01012
SARDAEN,EQ,1169.95,1152.3,1168.65,43870,50741029.35,3767,INE385C01013
SAREGAMA,EQ,4460,4438.5,4501.4,7194,32233747.95,1933,INE979A01017
SARLAPOLY,EQ,57.85,58.15,56.95,167953,9826530.75,1643,INE453D01025
SARVESHWAR,SM,39.25,39.25,37.4,1600,62800,1,INE324X01018
SASKEN,EQ,960,943.9,957.15,33943,32693176.95,4979,INE231F01020
SASTASUNDR,EQ,375.25,360.15,372.15,33292,12186869.5,1595,INE019J01013
SATIA,EQ,114,107.55,112.45,921493,101301920.3,19377,INE170E01023
SATIN,BE,100,100.75,100.15,80056,7967562.9,269,INE836B01017
SBC,BE,5.6,5.6,5.35,161123,902288.8,191,INE04AK01028
SBCL,EQ,478,526.9,471.85,599975,314435824.3,35750,INE386D01027
SBICARD,EQ,856.1,863.3,847.3,1293684,1113965087,52125,INE018E01016
SBIETFCON,EQ,67.86,67.61,67.86,3964,268914.27,760,INF200KA1X17
SBIETFIT,EQ,379.7,367.81,367.51,15443,5699965.8,232,INF200KA1S14
SBIETFPB,EQ,187.99,183.03,183.77,1542,281863.59,48,INF200KA1S22
SBIETFQLTY,EQ,148.96,148.68,148.96,529,78802.84,50,INF200KA1WX6
SBILIFE,EQ,1110.45,1092.25,1097.65,1054362,1155297772,39162,INE123W01016
SBIN,EQ,498.5,490.65,493.7,15800195,7823206414,168550,INE062A01020
SCAPDVR,EQ,9.3,8.9,9.05,79480,729476.15,202,INE224E01036
SCHAEFFLER,EQ,1887,1868,1867.5,104459,196582689.1,20573,INE513A01022
SCHAND,EQ,102.35,98.05,100.95,128393,12751282.6,2670,INE807K01035
SCHNEIDER,EQ,117,115.15,116.4,1197367,138885830.9,14001,INE839M01018
SCI,EQ,118,117,116.65,2102461,249928952.3,16248,INE109A01011
SDBL,EQ,54,53.2,53.4,599938,31444255.3,5994,INE480C01020
SEAMECLTD,EQ,1237,1204.95,1206.9,17680,20967735.65,739,INE497B01018
SECL,SM,136,136,130.05,3000,408000,1,INE00Y701018
SECURCRED,SM,94.2,94.2,89.75,169200,15938640,23,INE195Y01010
SECURKLOUD,EQ,89.8,89.95,87.85,92278,8342456.4,1767,INE650K01021
SEJALLTD,BE,332.6,332.6,316.8,1,332.6,1,INE955I01044
SELAN,EQ,187.95,192.55,186.6,960957,182562906.8,22266,INE818A01017
SELMC,BE,612.95,612.95,583.8,3716,2277722.2,121,INE105I01020
SEPC,EQ,7.65,7.55,7.65,645555,4892477.2,693,INE964H01014
SEPOWER,BE,24.35,23.5,23.2,108831,2552115.9,581,INE735M01018
SEQUENT,EQ,124.85,123.55,123.35,1899226,235632022.5,21778,INE807F01027
SERVOTECH,BE,93.8,92.7,92.05,5783,526865.75,114,INE782X01017
SESHAPAPER,EQ,185,178.7,184.4,88447,15999683.9,2417,INE630A01024
SETCO,EQ,16,15.95,15.85,200274,3169536.1,675,INE878E01021
SETF10GILT,EQ,203.25,202.75,202.85,38,7706.5,7,INF200KA1JT1
SETFGOLD,EQ,45.44,45.38,45.3,1503308,67886763.48,1411,INF200KA16D8
SETFNIF50,EQ,178.9,176.26,177.37,649000,114528043.1,2268,INF200KA1FS1
SETFNIFBK,EQ,364,360.3,362.7,296325,106942708.2,1203,INF200KA1580
SETFNN50,EQ,434.7,424.39,423.63,11311,4809515.37,412,INF200KA1598
SETUINFRA,BE,3.05,3,3.05,278164,848946.45,311,INE023M01027
SEYAIND,BE,41.65,39.6,40.8,24011,968083.25,359,INE573R01012
SFL,EQ,3324.05,3322.4,3307.5,8835,29303033.8,4412,INE916U01025
SGBAPR28I,GB,4700.54,4704.36,4701.8,609,2862880.75,54,IN0020200062
SGBAUG24,GB,4901.01,4998.22,5001,146,727960.01,21,IN0020160027
SGBAUG27,GB,4700.5,4737.49,4700.5,91,428094.69,14,IN0020190107
SGBAUG28V,GB,4750,4747.57,4748.38,937,4448568.75,161,IN0020200161
SGBAUG29V,GB,4675,4678,4680,65,304364.15,28,IN0020210129
SGBD29VIII,GB,4667,4667.64,4683.53,259,1209743.09,48,IN0020210228
SGBDC27VII,GB,4701,4701,4671,13,61113,3,IN0020190461
SGBFEB24,GB,4975,4950,5000,141,697781.95,14,IN0020150101
SGBFEB28IX,GB,4658,4675,4700.76,61,283838.02,10,IN0020190545
SGBFEB29XI,GB,4695,4690.9,4692,144,671642.05,94,IN0020200393
SGBJAN26,GB,4790,4790,4790,2,9580,2,IN0020170166
SGBJAN29IX,GB,4671,4671.89,4671.96,132,617494.2,26,IN0020200377
SGBJAN29X,GB,4723,4682,4723.1,82,385969.73,23,IN0020200385
SGBJAN30IX,GB,4729.98,4681,4690,32,149944.19,16,IN0020210236
SGBJU29III,GB,4700,4674.09,4685.05,197,922203.81,39,IN0020210087
SGBJUL25,GB,4975,4975,5010,42,208950,5,IN0020170034
SGBJUL27,GB,4700,4669.18,4700,22,102722.05,4,IN0020190081
SGBJUL28IV,GB,4714,4669.61,4683.53,460,2148850.15,76,IN0020200146
SGBJUL29IV,GB,4670,4664.4,4675.26,284,1327156.85,88,IN0020210111
SGBJUN27,GB,4800,4800,4647,1,4800,1,IN0020190073
SGBJUN28,GB,4675,4680.19,4674.87,89,416464.8,15,IN0020200104
SGBJUN29II,GB,4749,4665.7,4677.63,565,2641607.48,40,IN0020210061
SGBMAR24,GB,4921.5,4900,4924.4,349,1708156.28,27,IN0020150119
SGBMAR25,GB,4752,4862,4926,8,38986,4,IN0020160126
SGBMAR28X,GB,4626.1,4700.68,4700,195,910112.3,30,IN0020190552
SGBMAR30X,GB,4875,4915,4846.25,45,220549.8,27,IN0020210319
SGBMAY25,GB,5030,5040,5102,20,100780,2,IN0020170018
SGBMAY26,GB,4798.99,4769,4799.96,6,28637.98,6,IN0020180033
SGBMAY28,GB,4661,4673.45,4687.67,193,901871,56,IN0020200088
SGBMAY29I,GB,4700,4688.14,4698.43,614,2885039.39,106,IN0020210053
SGBMR29XII,GB,4680,4674,4683.04,213,994809.66,80,IN0020200427
SGBN28VIII,GB,4701.02,4714.39,4704.11,104,498705.17,29,IN0020200286
SGBNOV23,GB,5050,5096.83,5100.7,56,284114.85,9,IN0020150085
SGBNOV24,GB,5050,5030,5100,102,515136.5,19,IN0020160076
SGBNOV25VI,GB,4801,4801,4715.16,1,4801,1,IN0020170083
SGBNV29VII,GB,4676.62,4681.52,4676.62,178,833152.65,22,IN0020210178
SGBOC28VII,GB,4720.51,4724.82,4720.51,53,250189.93,18,IN0020200203
SGBOCT25,GB,4935,5001,4900,191,949013.61,22,IN0020170059
SGBOCT25IV,GB,4885,4970,4770,151,750385,4,IN0020170067
SGBOCT25V,GB,4821,4980,4900,111,549758.24,5,IN0020170075
SGBOCT27,GB,4688.01,4685,4688.01,26,121872.1,4,IN0020190370
SGBOCT27VI,GB,4690,4690,4690,7,32830,1,IN0020190388
SGBSEP24,GB,4975,4945,4962.15,86,420597.05,14,IN0020160043
SGBSEP27,GB,4790,4687.5,4713,24,112767.48,4,IN0020190115
SGBSEP28VI,GB,4681,4685,4681.9,85,398929.5,25,IN0020200195
SGBSEP29VI,GB,4899,4666.48,4663.25,144,673311.73,36,IN0020210145
SGIL,EQ,176.1,181.1,176.85,11333,2064821.9,426,INE00QT01015
SGL,EQ,29.8,30.5,29.1,188920,5725906.55,1059,INE353H01010
SHAHALLOYS,EQ,121,122.7,116.9,46286,5652998.2,314,INE640C01011
SHAKTIPUMP,EQ,522.95,503.3,516.25,60232,30756384.85,3229,INE908D01010
SHALBY,EQ,124.65,123.15,124,103053,12713717,1808,INE597J01018
SHALPAINTS,EQ,125,123.35,124.65,83806,10400832.25,2497,INE849C01026
SHANKARA,EQ,812,814.85,802.05,349693,284164067.1,16780,INE274V01019
SHANTI,BE,19.7,18.8,18.8,906,17272.05,20,INE933X01016
SHANTIGEAR,EQ,188,184.8,184.65,143002,26711638.75,4331,INE631A01022
SHARDACROP,EQ,555.55,539.75,547.4,90341,49434588.6,5289,INE221J01015
SHARDAMOTR,EQ,793,780.4,781.65,27729,22165210.4,1960,INE597I01028
SHAREINDIA,EQ,1110.25,1117.8,1116.85,22920,25631777.6,1466,INE932X01018
SHARIABEES,EQ,442.61,441.01,441.92,522,230186.22,53,INF732E01128
SHEMAROO,EQ,135,133.65,135.5,39555,5337563.45,707,INE363M01019
SHIGAN,ST,81.9,81.9,78,18000,1474200,6,INE03KJ01013
SHIL,EQ,373.6,368.8,373.15,103928,38629832.55,3380,INE05AN01011
SHILPAMED,EQ,413,401.75,410.15,177204,72263745.15,5854,INE790G01031
SHIVALIK,EQ,948,923.15,932.4,4802,4460991.65,312,INE788J01021
SHIVAMAUTO,EQ,26,26.9,26.4,104582,2788729.75,609,INE637H01024
SHIVAMILLS,EQ,109.9,107.3,106.55,14909,1601299.7,261,INE644Y01017
SHIVATEX,EQ,222.95,216.85,218.95,18695,4076252.7,512,INE705C01020
SHK,EQ,145.4,142.85,145.15,89015,12883640.7,1749,INE500L01026
SHOPERSTOP,EQ,454.3,433.9,446.35,594703,261771852.9,26172,INE498B01024
SHRADHA,EQ,56.7,54.75,55.3,5500,302926.25,130,INE715Y01015
SHREDIGCEM,EQ,69.95,68.25,69.2,211152,14643426.05,3345,INE232A01011
SHREECEM,EQ,23460,23413.2,23373.3,39577,929059705.8,11946,INE070A01015
SHREEPUSHK,EQ,286.7,272.9,284.6,100598,27907037.8,3912,INE712K01011
SHREERAMA,BE,14.5,13.9,14.2,29530,410923.5,105,INE879A01019
SHRENIK,BE,2.65,2.7,2.65,1003080,2701121.2,1432,INE632X01030
SHREYANIND,EQ,118.5,115.55,118.5,24438,2872822.3,785,INE231C01019
SHREYAS,EQ,342,336.3,337.75,88534,30053354.9,7509,INE757B01015
SHRIPISTON,BE,699,688.5,695,499,348771.7,24,INE526E01018
SHRIRAMCIT,EQ,1565.85,1554.05,1558.05,18188,28414196.5,3614,INE722A01011
SHRIRAMPPS,EQ,78,76.7,77.8,982764,76053157.55,7297,INE217L01019
SHUBHLAXMI,SM,14.35,15,15,5000,72400,5,INE01Z401013
SHYAMCENT,EQ,19.35,19.1,19.1,157268,3004483.45,1282,INE979R01011
SHYAMMETL,EQ,359.4,361.65,357.25,381297,137760420.5,7645,INE810G01011
SHYAMTEL,BE,9.9,10.6,10.35,3631,36376.75,39,INE635A01023
SICAL,BE,15.1,14.95,14.4,540176,8097786.65,622,INE075B01012
SIEMENS,EQ,2343.8,2296.05,2319.15,584257,1333352286,44142,INE003A01024
SIGACHI,EQ,306,300.35,302.55,126340,38469471.8,4653,INE0D0K01014
SIGIND,EQ,43.4,42.3,42.75,19329,823046.6,253,INE529F01035
SIGMA,SM,605,614,620,600,365700,2,INE0A0S01010
SIKKO,EQ,60.45,61.25,58.35,5895,353289.85,69,INE112X01017
SIL,BE,12.15,12.5,12.4,26818,329825.45,73,INE173A01025
SILGO,EQ,27.35,27.7,27.5,7888,217599.6,80,INE01II01013
SILINV,EQ,358.95,350.5,352.1,3478,1223348,313,INE923A01015
SILLYMONKS,EQ,24.2,21.35,23.7,33331,719567.4,136,INE203Y01012
SILVER,EQ,69.82,69.38,69.82,35410,2449385.8,386,INF209KB19F6
SILVERTUC,SM,190.4,208,198.1,19000,3846500,10,INE625X01018
SIMBHALS,EQ,25.25,26.7,25.5,230036,6107902.7,884,INE748T01016
SIMPLEXINF,EQ,39.6,39.95,39.5,233141,9158719.85,869,INE059B01024
SINTERCOM,EQ,95.15,95,95,6077,577350,76,INE129Z01016
SIRCA,EQ,467,458.7,462.4,74861,34374530.3,1472,INE792Z01011
SIS,EQ,481.15,480.4,479.8,32852,15861632.5,1775,INE285J01028
SITINET,BE,3.05,3.1,3.15,1613474,4957100.9,1222,INE965H01011
SIYSIL,EQ,422,432.6,421.5,130745,56521995.35,8062,INE076B01028
SJS,EQ,373,356.4,366.35,47396,17116352,2887,INE284S01014
SJVN,EQ,27.65,27.5,27.5,3319594,91261386.7,6799,INE002L01015
SKFINDIA,EQ,3350,3352.9,3341.35,28121,93880749.5,4952,INE640A01023
SKIPPER,EQ,62.3,62,62.3,144491,9010497.2,1172,INE439E01022
SKMEGGPROD,EQ,66.2,65,65.4,32212,2109689.4,477,INE411D01015
SKSTEXTILE,SM,20.25,21.9,21,4000,82650,3,INE507Y01016
SMARTLINK,EQ,130.5,124.7,126.25,14790,1879541.1,482,INE178C01020
SMCGLOBAL,EQ,76.5,74.9,75.9,272682,20579150.85,1793,INE103C01036
SMLISUZU,EQ,493,496.45,492.5,11647,5786999,894,INE294B01019
SMLT,EQ,99.7,98.5,97.2,21354,2125957.85,294,INE017W01010
SMSLIFE,EQ,713.95,680.75,700.95,2903,1996080.85,251,INE320X01016
SMSPHARMA,EQ,114.35,110.2,112.1,208179,23294504.95,3740,INE812G01025
SNOWMAN,EQ,32.4,33.05,32.15,1012293,32984735.2,4797,INE734N01019
SOBHA,EQ,748,728.2,739.75,243296,179685876.1,9915,INE671H01015
SOFTTECH,EQ,105.85,109,108.25,907,99631.2,33,INE728Z01015
SOLARA,EQ,702.5,699.6,700.25,91594,64489097.15,7790,INE624Z01016
SOLARINDS,EQ,2660,2619.8,2650.9,28320,74858514.75,4108,INE343H01029
