SYMBOL,SERIES,OPEN,CLOSE,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
MHHL,SM,27.05,25.9,27,105000,2789700,32,INE450S01011
MHLXMIRU,EQ,112.5,118.9,116.85,16693,1982668.4,290,INE112D01035
MHRIL,EQ,232.5,227.15,233.25,1026791,236579066.8,29938,INE998I01010
MICEL,BE,21,20.25,20.55,173531,3601602.65,840,INE287C01037
MIDHANI,EQ,168.55,169.9,168.25,313458,53566388.75,6602,INE099Z01011
MINDACORP,EQ,200.9,196.8,199.1,718068,142978949.3,7555,INE842C01021
MINDAIND,EQ,992,985.65,986.45,233205,230707771.5,13446,INE405E01023
MINDSPACE,RR,350.25,348.96,348.61,105291,36737271.87,1802,INE0CCU25019
MINDTECK,BE,123,121.7,122.3,50052,6093066.9,459,INE110B01017
MINDTREE,EQ,4052,4102.6,4034.4,681813,2794130312,59290,INE018I01017
MIRCELECTR,EQ,21.3,20.55,20.8,437597,9220913.6,1115,INE831A01028
MIRZAINT,EQ,169,162.9,166.8,1255804,211817760,26169,INE771A01026
MITCON,EQ,114.8,106.45,111.7,101881,11023921.9,1041,INE828O01033
MITTAL,BE,16.65,16.6,16.3,27655,447972.35,206,INE997Y01019
MKPL,SM,183,176.95,176,6000,1079900,3,INE964W01013
MMFL,EQ,887.1,860.3,892.85,29183,25786598.05,3979,INE227C01017
MMP,EQ,213.8,208.65,211.3,251504,53901930.75,9029,INE511Y01018
MMTC,EQ,46.35,45.75,46.05,1380031,63813391.1,6216,INE123F01029
MODIRUBBER,BE,67,69.1,68.35,4325,295067.85,26,INE832A01018
MODISNME,EQ,71.3,72.3,71.3,37935,2740224,521,INE737D01021
MOGSEC,EQ,49.6,49.59,49.59,2954,146506.49,23,INF247L01AK4
MOHITIND,EQ,20,19.9,19.8,78178,1576915.8,390,INE954E01012
MOIL,EQ,173.95,182.35,173,3108514,572478841.6,42079,INE490G01020
MOKSH,EQ,17,17.25,17.1,544503,9290806.95,1130,INE514Y01020
MOL,EQ,106,104.45,105.5,1333912,140702974.1,11336,INE0CT101020
MOLDTECH,EQ,83.25,81.75,84.65,55290,4563646.35,893,INE835B01035
MOLDTKPAC,EQ,726.45,727.5,715.7,173947,126357065.2,3759,INE893J01029
MOLDTKPAC,W1,540,540,507.9,542,291621.1,18,INE893J13016
MOM100,EQ,29.55,30.47,30.43,147988,4525733.29,2969,INF247L01023
MOM50,EQ,177.55,171.04,171.58,604,103857.04,65,INF247L01536
MOMOMENTUM,EQ,200.8,201.95,200.15,6865,1380621.28,103,INF247L01AX7
MON100,EQ,111.17,111.74,109.25,1418169,157423551.9,7276,INF247L01AP3
MONARCH,EQ,192,188.3,192.1,28713,5481584.55,748,INE903D01011
MONQ50,EQ,56.33,57.42,57.06,11137,644766.81,212,INF247L01AU3
MONTECARLO,EQ,505,503.05,499.15,44231,22524020.45,2288,INE950M01013
MORARJEE,BE,25.8,26.05,24.85,12445,323618.55,90,INE161G01027
MOREPENLAB,EQ,40.55,39.65,40.2,954947,38153133.7,5907,INE083A01026
MOTHERSUMI,EQ,137.1,135.05,136.4,5451318,740358158.9,36736,INE775A01035
MOTILALOFS,EQ,864.1,880.65,860.6,276119,242555962.7,11380,INE338I01027
MOTOGENFIN,BE,29,28.2,28.2,228,6285.2,11,INE861B01023
MPHASIS,EQ,3191,3240.9,3186.65,517606,1670882445,41133,INE356A01018
MPSLTD,EQ,623.4,614.75,620.25,16748,10381055.95,2042,INE943D01017
MRF,EQ,67105,66844.7,67096.6,8261,554468144.4,5590,INE883A01011
MRO-TEK,EQ,48.55,53.2,48.4,15594,813580.8,237,INE398B01018
MRPL,EQ,42.75,42.5,42.5,1310585,56157856.45,5181,INE103A01014
MSPL,EQ,11.5,11.3,11.3,1387390,15641839,1584,INE752G01015
MSTCLTD,EQ,312.45,311.05,310.1,243845,76382294.8,4217,INE255X01014
MTARTECH,EQ,1995.7,1956.15,1978.2,112510,221783490.9,9316,INE864I01014
MTEDUCARE,EQ,9.1,8.85,8.95,91524,815471.75,250,INE472M01018
MTNL,EQ,23.7,23.3,23.5,3052086,72992603.4,4524,INE153A01019
MUKANDLTD,EQ,131.35,130.25,128.15,147512,19291429.2,2999,INE304A01026
MUKTAARTS,EQ,43.4,43.25,42.3,17912,777585.45,92,INE374B01019
MUNJALAU,EQ,46.95,45.65,46.4,158534,7313663.85,1749,INE672B01032
MUNJALSHOW,EQ,108.3,104.2,106.1,87294,9127126.75,1367,INE577A01027
MURUDCERA,EQ,26.15,25.7,26.1,63405,1649491.15,415,INE692B01014
MUTHOOTCAP,EQ,277,274.15,274.4,16253,4462438.2,440,INE296G01013
MUTHOOTFIN,EQ,1375,1336.5,1369,563501,759112293.5,24989,INE414G01012
NABARD,N1,1269.9,1269.9,1210,6,7619.4,2,INE261F07057
NABARD,N2,1201.15,1207.73,1201.12,1902,2292848.84,38,INE261F07032
NACLIND,EQ,86,86.15,84.35,237042,20585124.6,2935,INE295D01020
NAGAFERT,EQ,13.45,12.65,13.25,1246837,16107020.3,1459,INE454M01024
NAGREEKCAP,EQ,11.45,10.65,11.2,8963,98038.1,59,INE245I01016
NAGREEKEXP,EQ,37.2,38.7,37.2,21329,810551.85,717,INE123B01028
NAHARCAP,EQ,612.7,609.7,603.85,73288,45632225.65,6918,INE049I01012
NAHARINDUS,EQ,180,179.1,174.5,258430,46900111.15,5749,INE289A01011
NAHARPOLY,EQ,596,565.4,590.4,138623,79665820.55,9340,INE308A01027
NAHARSPING,BE,535,548.25,522.15,19188,10495707.55,288,INE290A01027
NAM-INDIA,EQ,336,336,334.8,695804,235356469.4,13279,INE298J01013
NARMADA,SM,19,20,19.95,64800,1288800,4,INE117Z01011
NATCOPHARM,EQ,803,788.5,799.35,293110,233641483,15143,INE987B01026
NATHBIOGEN,EQ,235.4,231.05,232.4,257317,59913226.25,1492,INE448G01010
NATIONALUM,EQ,122,123.15,122.2,34623994,4230935649,67765,INE139A01034
NAUKRI,EQ,4798,4626.25,4760.45,682694,3195530501,80624,INE663F01024
NAVINFLUOR,EQ,4098,3986.55,4062.35,153028,611472706.5,20378,INE048G01026
NAVKARCORP,EQ,35,33.95,34.85,412550,14180327.25,2261,INE278M01019
NAVNETEDUL,EQ,93.35,91.4,92.55,619990,56849786.1,17068,INE060A01024
NAZARA,EQ,1785,1761.65,1775.75,55420,98295299.4,4844,INE418L01021
NBCC,EQ,38.75,38.95,38.75,11377460,444278132.7,15031,INE095N01031
NBIFIN,EQ,2250,2287.05,2260,97,220393.05,19,INE365I01020
NBVENTURES,EQ,125,138.75,123.15,6196595,856651256.9,71740,INE725A01022
NCC,EQ,61.15,61.75,60.55,2922238,180123403.7,9177,INE868B01028
NCLIND,EQ,175.2,171.55,173.6,133767,23158105.15,3124,INE732C01016
NCPSESDL24,EQ,108.25,108.25,108.25,428,46330.86,6,INF204KB18W4
NDGL,EQ,1260.5,1285.45,1304.85,79,101254.9,27,INE756C01015
NDL,EQ,177,180.5,174.4,1157037,205048046.4,8523,INE875G01030
NDRAUTO,EQ,396,388.95,391.8,10457,4112419.45,225,INE07OG01012
